آئودی,1
آریسان,2
آریو,3
آلفارومئو,4
آمیکو وانت,5
اسمارت,6
اس‌دبلیو‌ام,7
الدزمبیل,8
ام‌جی,9
ام‌وی‌ام,10
اپل,11
ایسوزو,12
ایویکو,13
بایک,14
برلیانس,15
بسترن,16
بنز,17
بورگوارد,18
بیسو,19
بی‌ام‌و,20
بی‌‌وای‌دی,21
تویوتا,22
تیبا,23
جوی لانگ,24
جک,25
جیلی,26
جیپ,27
جی‌ای‌سی گونو,28
دامای,29
دانگ فنگ,30
دلیکا,31
دنا,32
دوو,33
دیگنیتی,34
دی‌اس,35
رانا,36
راین,37
رنو,38
ریچ,39
ریگان,40
زامیاد,41
زوتی,42
سانگ یانگ,43
ساینا,44
سمند,45
سوبارو,46
سوزوکی,47
سیتروئن,48
سیناد,49
شاهین,50
شورولت,51
فوتون,52
فورد,53
فولکس,54
فیات,55
فیدلیتی,56
لندرور,57
لندمارک,58
لوتوس,59
لکسوس,60
لیفان,61
مازراتی,62
مزدا,63
میتسوبیشی,64
نیسان,65
هافی لوبو,66
هاوال,67
هایما,68
هن تنگ,69
هوندا,70
هیوندای,71
ولوو,72
ون ایران خودرو,73
ون سایپا,74
ون فاو,75
ون نارون,76
پاژن,77
پراید,78
پروتون,79
پورشه,80
پژو,81
پیکان,82
چانگان,83
چری,84
کاپرا,85
کوییک,86
کیا,87
کی‌ام‌سی,88
گریت وال,89
یوآز,90
