id,brand_id,model,tip
1,ام وی ام,X22,اتوماتیک اسپرت اکسلنت
2,ام وی ام,315 هاچبک,پلاس
3,پژو,پارس,ساده
4,پژو,206 SD,V8
5,پژو,پارس,LX-Tu5
6,پژو,پارس,ساده
7,پژو,206,تیپ 5
8,پژو,207,پانوراما دنده‌ای
9,پژو,2008,اتوماتیک
10,پژو,405,SLX
11,پژو,207,پانوراما دنده‌ای
12,پژو,پارس,اتوماتیک
13,ام وی ام,X22,اتوماتیک اسپرت اکسلنت
14,ام وی ام,315 هاچبک,پلاس
15,پژو,پارس,ساده
16,پژو,206 SD,V8
17,پژو,پارس,LX-Tu5
18,پژو,پارس,ساده
19,پژو,206,تیپ 5
20,پژو,207,پانوراما دنده‌ای
21,پژو,2008,اتوماتیک
22,پژو,405,SLX
23,پژو,207,پانوراما دنده‌ای
24,پژو,پارس,اتوماتیک
25,پژو,508,اتوماتیک
26,تیبا,صندوق دار,SX
27,جک,S3,اتوماتیک
28,جک,S5,اتوماتیک
29,جک,J4,اتوماتیک
30,جک,S3,اتوماتیک
31,دنا,پلاس,دنده ای ساده
32,دنا,معمولی,دنده ای تیپ 2
33,دنا,پلاس,دنده ای ساده
34,رنو,تندر90,اتوماتیک
35,رنو,پارس تندر,دنده ای
36,رنو,کپچر,اتوماتیک
37,رنو,داستر,PE تک دیفرانسیل
38,رنو,پارس تندر,دنده ای
39,رنو,تندر90,E2
40,رنو,ساندرو استپ وی,اتوماتیک
41,رنو,ساندرو,دنده ای
42,سمند,LX,EF7
43,سمند,LX,ساده
44,سمند,LX,EF7
45,سمند,LX,ساده
46,سمند,LX,EF7
47,سمند,LX,EF7 دوگانه سوز
48,سمند,LX,ساده
49,سمند,LX,EF7 دوگانه سوز
50,سمند,LX,EF7
51,کیا,سراتو (مونتاژ),2.0 لیتر ساده
52,کیا,سراتو (مونتاژ),2.0 لیتر آپشنال
53,کیا,اسپورتیج,SL ساده
54,لیفان,X50,اتوماتیک
55,هیوندای,سانتافه (ix45),چهار سیلندر دو دیفرانسیل
56,ام جی,6,GT نیو فیس
57,بایک,سابرینا هاچ بک مونتاژ,اتوماتیک
58,برلیانس,H330,1.65 اتوماتیک
59,برلیانس,H330,1.5 اتوماتیک
60,برلیانس,H230,دنده ای
61,تویوتا,پریوس,تیپ B
62,چانگان,CS35 (مونتاژ),اتوماتیک
63,چری,آریزو 6,اکسلنت
64,دانگ فنگ,H30 کراس,اتوماتیک
65,دانگ فنگ,H30 کراس,اتوماتیک
66,دانگ فنگ,H30 کراس,اتوماتیک
67,دانگ فنگ,H30 کراس,اتوماتیک
68,ساینا,EX,دنده ای
69,سوزوکی,گراند ویتارا (مونتاژ),2.4 لیتر اتوماتیک
70,فیدلیتی,پرایم,پنج نفره
71,کوییک,اتوماتیک فول پلاس,اتوماتیک
72,کوییک,اتوماتیک فول پلاس,اتوماتیک
73,کوییک,ساده,دنده ای
74,مزدا,جدید صندوق دار  (مونتاژ) 3,2.0 لیتر تیپ 4
75,میتسوبیشی,ASX,تیپ 4
76,نیسان,ایکس تریل,فول شرکتی
77,هایما,S7,1.8 لیتر توربو
