sarv-azad,51.1806317375,35.7477349125,سرو آزاد
shahrak-esteqlal,51.2321367772727,35.7062637818182,شهرک استقلال
daryache-chitgar,51.2121950790323,35.73982485,دریاچه شهدای خلیج فارس
chitgar-jonoubi,51.1572645111111,35.7167962222222,چیتگر جنوبی
mini-citi,51.5072834666667,35.7992645666667,مینی سیتی
shahid-mahalati,51.5203135594595,35.8054320351351,شهید محلاتی
shahrak-naft,51.5027642529412,35.8070239686275,شهرک نفت
sohanak,51.530134675,35.802139265625,سوهانک
moshiriyeh,51.4776466826087,35.6310766695652,مشیریه
dolat-abad,51.4541762178571,35.6173753928571,دولت آباد
masoodiyeh,51.498537,35.6288830391304,مسعودیه
ahang-sharqi,51.4789221357143,35.6633791785714,آهنگ شرقی
majid-abad,51.5413302625,35.762106025,مجید آباد
kohsar,51.2843688758621,35.7779288948276,کوهسار
baharan,51.2723466960784,35.7677220019608,بهاران
hesarak,51.3105391795919,35.785385477551,حصارک
shahid-rajayi,51.332325475,35.6394338375,شهید رجایی
yaft-abade-jonoubi,51.2990690261905,35.6466039738095,یافت آباد جنوبی
norozabad,51.2543328,35.6646683625,نوروزآباد
khalije-fars-jonoubi,51.274477425,35.656179395,خلیج فارس جنوبی
saadat-abad,51.3820492125,35.7856325,سعادت آباد
velenjak,51.3981817577465,35.8087215042254,ولنجک
evin,51.3914163776119,35.801465077612,اوین
parvaz,51.3521679761905,35.7920363412698,پرواز
shariaati-jonoubi,51.375991383871,35.6234133580645,شریعتی جنوبی
yakhchi-abad,51.4026353722222,35.6296531555556,یاخچی آباد
shahid-kazemi,51.3537788363636,35.6184516636364,شهید کاظمی
dolat-khah-jonoubi,51.3412947454545,35.6152167636364,دولت خواه جنوبی
